Blog	has	one	more	not	now	first	get	have	like	would	when	today	there	out	who	people	an	as	at	be	by	they	do	new	if	from	but	my	been	no	or	re	so	up	ve	after	we	was	can	t	most	about	all	what	their	which	here	how	time	than	your	some	just	over	will	are	know
Schneier on Security	1	4	3	5	1	1	1	6	2	1	2	0	3	1	1	7	1	6	2	6	8	1	2	3	2	5	4	4	1	3	11	2	2	5	1	1	15	0	8	2	1	8	4	8	16	3	0	12	0	1	1	2	1	3	6	14	2
The Superficial - Because You're Ugly	2	4	20	2	2	0	0	2	7	1	3	2	0	6	3	3	1	2	10	3	7	5	1	3	4	2	5	1	0	3	4	2	9	5	2	5	10	6	5	12	3	10	2	2	4	6	9	3	1	0	2	1	6	1	0	5	4
Search Engine Roundtable	2	0	1	1	4	0	1	0	1	0	0	3	1	2	0	0	2	1	0	2	3	1	0	4	1	3	1	1	0	1	0	0	0	0	0	0	3	3	2	2	2	1	0	4	2	0	4	1	0	0	1	4	1	1	0	3	1
Copyblogger	0	12	0	0	1	0	0	5	5	1	2	0	1	2	3	1	3	4	5	0	0	2	2	2	5	3	4	1	0	0	2	2	0	0	0	1	1	1	4	4	1	1	3	1	2	0	1	8	3	0	35	2	1	0	3	2	5
John Battelle's Search Blog	2	1	0	1	0	20	0	2	1	1	7	0	0	1	6	2	3	1	1	5	1	3	4	1	2	2	12	14	1	0	2	3	2	0	4	1	8	5	4	5	1	7	5	4	1	2	3	5	1	0	4	1	2	1	3	2	2
Engadget RSS Feed	14	5	16	3	17	5	3	15	9	2	11	6	9	12	3	1	19	40	24	28	4	13	3	18	8	17	18	0	8	5	12	11	10	8	6	5	29	3	6	12	4	9	8	10	7	13	2	4	7	7	17	9	5	4	22	12	5
TMZ.com	9	4	1	7	0	1	0	2	2	1	1	1	1	9	6	3	2	1	5	4	3	2	1	4	0	4	8	1	1	0	2	1	2	2	0	5	1	9	1	1	2	2	6	2	2	1	1	0	3	3	2	0	3	2	0	3	0
A Consuming Experience (full feed)	9	16	14	25	13	15	24	31	22	9	19	1	16	7	3	3	25	33	21	27	22	8	12	10	53	29	34	21	8	17	68	9	27	18	20	14	1	13	28	59	1	4	27	10	3	18	17	20	10	7	45	12	35	0	11	20	3
SimpleBits	2	2	0	6	1	2	0	3	3	2	0	2	1	4	0	0	5	2	2	2	0	0	1	8	0	1	4	5	3	1	1	1	3	0	6	0	1	1	1	4	1	2	2	0	0	0	0	1	1	1	1	0	1	4	0	1	0
Publishing 2.0	18	10	5	17	8	9	6	14	9	2	4	7	11	8	2	5	10	17	11	12	13	12	2	18	10	13	17	4	5	6	7	8	13	3	5	0	18	5	14	20	13	19	16	20	6	12	7	14	2	3	5	5	5	4	13	20	2
mezzoblue	1	2	0	2	1	1	0	1	0	0	2	1	0	2	0	0	2	3	0	2	0	0	0	4	2	1	6	3	3	0	1	1	2	0	6	0	0	2	1	3	1	1	1	1	0	1	1	2	1	0	0	1	1	3	0	0	0
Eschaton	4	4	7	5	2	2	9	9	2	4	3	0	10	5	11	25	2	5	5	7	7	10	8	3	4	3	21	1	4	6	7	2	2	1	3	0	10	13	7	21	4	8	6	6	4	0	0	5	1	2	0	9	4	1	1	13	1
PerezHilton	2	1	4	5	1	1	1	0	1	0	1	0	1	4	2	0	1	1	3	2	2	2	1	6	1	0	5	0	1	2	0	3	2	2	0	2	2	6	0	3	1	1	0	2	2	0	2	2	1	3	2	2	2	1	0	2	0
Slashdot	20	9	33	8	6	6	2	18	9	5	2	8	2	9	4	3	24	21	34	17	21	18	3	21	7	26	5	1	10	4	9	3	12	6	5	5	19	13	6	2	1	5	6	3	6	12	1	4	6	10	6	6	2	3	21	15	3
Matt Cutts: Gadgets, Google, and SEO	1	0	2	1	0	1	2	3	4	0	2	0	0	5	0	2	1	0	3	4	1	3	1	6	1	4	4	18	1	3	1	2	8	3	0	0	1	3	3	3	1	3	0	6	1	1	2	2	4	1	1	4	2	0	1	5	2
How to Change the World	1	3	1	1	1	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	2	2	0	5	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	8	0	0	2	0	0	0	0	0	0
TUAW - The Unofficial Apple Weblog	38	52	64	38	57	19	23	77	46	15	37	16	41	51	24	13	48	103	86	93	58	44	27	37	30	121	63	39	14	35	85	30	37	58	17	11	22	51	84	71	16	34	42	26	35	33	22	18	31	36	78	36	32	21	61	76	13
